Gemeentecode,GemeentecodeGM,Gemeentenaam,GeoGemeentenaam,Provinciecode,ProvinciecodePV,Provincienaam,"asylum_migrants","avg_household_income","avg_woz","avg_ww_ratio","flag_color1","flag_color2","flag_color3","flag_color4",latitude,longitude,murders,population,province,"shield_crown","shield_symbol_1","shield_symbol_2","shield_symbol_3","shieldholder_1","shieldholder_2","surface_km2","surface_land_km2","surface_water_km2",university,year
0678,GM0678,Kapelle,Kapelle,29,PV29,Zeeland,NA,NA,NA,NA,white,yellow,red,blue,"51.484755","3.959631",NA,12508,Zeeland,crown,church,cross,boar,NA,NA,"49.6","37.1","12.5",0,2018
0537,GM0537,Katwijk,Katwijk,28,PV28,"Zuid-Holland",NA,NA,NA,NA,white,blue,yellow,red,"52.19802","4.419943",NA,62825,"Zuid-Holland",crown,tower,cross,NA,NA,NA,"31.1","24.5","6.6",0,2018
0928,GM0928,Kerkrade,Kerkrade,31,PV31,Limburg,NA,NA,NA,NA,red,white,NA,NA,"50.865946","6.070549",NA,46773,Limburg,NA,"saint lambert",lion,shield,NA,NA,"22.1","21.9","0.2",0,2018
1598,GM1598,Koggenland,Koggenland,27,PV27,"Noord-Holland",NA,NA,NA,NA,yellow,blue,white,NA,"52.652196","4.942015",NA,22473,"Noord-Holland",crown,ship,moon,NA,NA,lion,"84.1","80.5","3.6",0,2018
0542,GM0542,"Krimpen aan den IJssel","Krimpen aan den IJssel",28,PV28,"Zuid-Holland",NA,NA,NA,NA,green,yellow,NA,NA,"51.914353","4.596233",NA,28814,"Zuid-Holland",NA,moon,NA,NA,NA,NA,9,"7.8","1.2",0,2018
1931,GM1931,Krimpenerwaard,Krimpenerwaard,28,PV28,"Zuid-Holland",NA,NA,NA,NA,green,yellow,NA,NA,"51.982222","4.781667",NA,54287,"Zuid-Holland",crown,lion,tower,star,NA,NA,"161.3","161.3",0,0,2018
1659,GM1659,Laarbeek,Laarbeek,30,PV30,"Noord-Brabant",NA,NA,NA,NA,blue,green,red,white,"51.538447","5.621273",NA,21815,"Noord-Brabant",crown,millrind,wave,cross,NA,NA,"56.2","55.4","0.8",0,2018
1685,GM1685,Landerd,Landerd,30,PV30,"Noord-Brabant",NA,NA,NA,NA,white,red,green,NA,"51.726775","5.659492",NA,15262,"Noord-Brabant",crown,martlet,flower,NA,NA,NA,"70.7","70.4","0.3",0,2018
0882,GM0882,Landgraaf,Landgraaf,31,PV31,Limburg,NA,NA,NA,NA,yellow,blue,red,black,"50.892765","6.022408",NA,37530,Limburg,crown,staff,lion,lily,NA,NA,"24.7","24.6","0.1",0,2018
0415,GM0415,Landsmeer,Landsmeer,27,PV27,"Noord-Holland",NA,NA,NA,NA,red,white,black,NA,"52.440338","4.920923",NA,10457,"Noord-Holland",NA,goose,arrow,NA,NA,NA,"26.5","22.6","3.9",0,2018
0416,GM0416,Langedijk,Langedijk,27,PV27,"Noord-Holland",NA,NA,NA,NA,yellow,red,black,NA,"52.686711","4.783899",NA,26984,"Noord-Holland",crown,lion,NA,NA,NA,NA,27,24,3,0,2018
1621,GM1621,Lansingerland,Lansingerland,28,PV28,"Zuid-Holland",NA,NA,NA,NA,yellow,white,green,red,"51.998714","4.516263",NA,57188,"Zuid-Holland",crown,star,diamond,NA,NA,NA,"56.4","54.3","2.1",0,2018
0417,GM0417,Laren,Laren,27,PV27,"Noord-Holland",NA,NA,NA,NA,blue,yellow,NA,NA,"52.256817","5.224155",NA,10846,"Noord-Holland",NA,letter,NA,NA,NA,NA,"12.4","12.4",0,0,2018
0080,GM0080,Leeuwarden,Leeuwarden,21,PV21,Friesland,NA,NA,NA,NA,blue,yellow,NA,NA,"53.201233","5.799913",NA,108113,Friesland,crown,lion,NA,NA,NA,NA,167,"151.7","15.3",0,2018
0546,GM0546,Leiden,Leiden,28,PV28,"Zuid-Holland",NA,NA,NA,NA,red,white,NA,NA,"52.160114","4.49701",NA,121199,"Zuid-Holland",lion,key,NA,NA,NA,NA,"23.3",22,"1.3",1,2018
0547,GM0547,Leiderdorp,Leiderdorp,28,PV28,"Zuid-Holland",NA,NA,NA,NA,white,red,blue,NA,"52.150985","4.528173",NA,26788,"Zuid-Holland",NA,ket,wave,NA,NA,NA,"12.3","11.6","0.7",0,2018
1916,GM1916,"Leidschendam-Voorburg","Leidschendam-Voorburg",28,PV28,"Zuid-Holland",NA,NA,NA,NA,white,blue,red,black,"52.087731","4.399385",NA,73392,"Zuid-Holland",crown,tower,wave,moon,NA,NA,"35.6","32.7","2.9",0,2018
0995,GM0995,Lelystad,Lelystad,24,PV24,Flevoland,NA,NA,NA,NA,yellow,blue,white,NA,"52.518537","5.471422",NA,76170,Flevoland,crown,lily,shield,NA,morse,morse,"765.5","231.5","533.9",0,2018
1640,GM1640,Leudal,Leudal,31,PV31,Limburg,NA,NA,NA,NA,yellow,red,blue,NA,"51.261966","5.890997",NA,36213,Limburg,crown,horn,staff,NA,NA,NA,"164.9","162.8","2.1",0,2018
0327,GM0327,Leusden,Leusden,26,PV26,Utrecht,NA,NA,NA,NA,green,red,black,white,"52.131793","5.429469",NA,28967,Utrecht,crown,leaf,lily,cross,NA,NA,"58.9","58.6","0.3",0,2018
1705,GM1705,Lingewaard,Lingewaard,25,PV25,Gelderland,NA,NA,NA,NA,white,blue,yellow,pink,"51.903891","5.935221",NA,45814,Gelderland,crown,swan,stronghold,NA,NA,NA,"69.1","62.2","6.9",0,2018
0553,GM0553,Lisse,Lisse,28,PV28,"Zuid-Holland",NA,NA,NA,NA,yellow,blue,NA,NA,"52.25793","4.557483",NA,22376,"Zuid-Holland",NA,lion,NA,NA,NA,NA,"16.1","15.7","0.4",0,2018
0262,GM0262,Lochem,Lochem,25,PV25,Gelderland,NA,NA,NA,NA,yellow,blue,NA,NA,"52.158665","6.409816",NA,33268,Gelderland,crown,lion,tower,flower,NA,NA,"215.9","213.2","2.7",0,2018
0809,GM0809,"Loon op Zand","Loon op Zand",30,PV30,"Noord-Brabant",NA,NA,NA,NA,white,yellow,black,red,"51.627014","5.072009",NA,23104,"Noord-Brabant",NA,horn,hammer,NA,NA,NA,"50.7","50.2","0.6",0,2018
0331,GM0331,Lopik,Lopik,26,PV26,Utrecht,NA,NA,NA,NA,yellow,blue,red,white,"51.974861","4.945148",NA,14000,Utrecht,NA,crown,NA,NA,NA,NA,79,"75.8","3.2",0,2018
0024,GM0024,Loppersum,Loppersum,20,PV20,Groningen,NA,NA,NA,NA,red,white,yellow,NA,"53.332175","6.747987",NA,10181,Groningen,crown,eagle,key,lance,NA,NA,112,111,1,0,2018
0168,GM0168,Losser,Losser,23,PV23,Overijssel,NA,NA,NA,NA,white,red,NA,NA,"52.262852","7.005785",NA,22619,Overijssel,NA,cross,bisshop,NA,NA,NA,"99.6","99.8","0.8",0,2018
